humidity,pressure,temperature,timestamp,wind_speed,precipitation
67,1017,13.3,2024-12-06T23:00:00,2.57,0
74,1018,11.9,2024-12-07T00:00:00,2.47,0
83,1018,10.3,2024-12-07T01:00:00,2.39,0
79,1017,10.9,2024-12-07T02:00:00,2.67,0
75,1017,11.5,2024-12-07T03:00:00,2.06,0
84,1018,9.9,2024-12-07T04:00:00,2.29,0
83,1017,10.5,2024-12-07T05:00:00,1.54,0
84,1017,10.5,2024-12-07T06:00:00,1,0
90,1018,9.3,2024-12-07T07:00:00,1.44,0
87,1017,9.7,2024-12-07T08:00:00,1,0
82,1018,11.2,2024-12-07T09:00:00,1,0
71,1019,13.1,2024-12-07T10:00:00,2.06,0
75,1019,12.9,2024-12-07T11:00:00,2.07,0
64,1018,14.9,2024-12-07T12:00:00,1.54,0
67,1018,14.8,2024-12-07T13:00:00,1.92,0
62,1017,16,2024-12-07T14:00:00,2,0
60,1016,16.4,2024-12-07T15:00:00,2.06,0
63,1017,16.2,2024-12-07T16:00:00,1.59,0
66,1017,15.7,2024-12-07T17:00:00,1.29,0
74,1016,13.8,2024-12-07T18:00:00,3.6,0
70,1016,14.3,2024-12-07T19:00:00,1,0
73,1017,13.5,2024-12-07T20:00:00,1.16,0
72,1016,14,2024-12-07T21:00:00,1.54,0
76,1016,13.2,2024-12-07T22:00:00,1.54,0
73,1016,13.5,2024-12-07T23:00:00,1.54,0
76,1016,12.8,2024-12-08T00:00:00,2.06,0
81,1017,11.8,2024-12-08T01:00:00,1.63,0
84,1017,11.3,2024-12-08T02:00:00,2.02,0
80,1016,11.7,2024-12-08T03:00:00,1,0
81,1016,11.3,2024-12-08T04:00:00,1.54,0
88,1018,10.3,2024-12-08T05:00:00,1.48,0
83,1016,11.2,2024-12-08T06:00:00,1,0
84,1017,10.9,2024-12-08T07:00:00,1,0
89,1017,9.9,2024-12-08T08:00:00,0.98,0
84,1017,11.6,2024-12-08T09:00:00,1,0
76,1017,13.7,2024-12-08T10:00:00,1.54,0
79,1018,13.5,2024-12-08T11:00:00,1.44,0
67,1017,15.9,2024-12-08T12:00:00,1.51,0
58,1017,17.2,2024-12-08T13:00:00,1.7,0
56,1016,17.4,2024-12-08T14:00:00,1.38,0
55,1015,17,2024-12-08T15:00:00,2.57,0
61,1016,16.5,2024-12-08T16:00:00,2.5,0
59,1015,16.1,2024-12-08T17:00:00,2.06,0
78,1015,13.1,2024-12-08T18:00:00,1.54,0
77,1016,12.8,2024-12-08T19:00:00,1.99,0
73,1016,12.6,2024-12-08T20:00:00,1.35,0
73,1016,12.2,2024-12-08T21:00:00,1.54,0
75,1016,11.8,2024-12-08T22:00:00,2.06,0
83,1017,11,2024-12-08T23:00:00,1.35,0
79,1017,10.9,2024-12-09T00:00:00,0.58,0
79,1016,10.9,2024-12-09T01:00:00,1,0
83,1016,10.6,2024-12-09T02:00:00,1.54,0
85,1017,10.5,2024-12-09T03:00:00,1,0
85,1017,9.8,2024-12-09T04:00:00,2.57,0
86,1019,8.8,2024-12-09T05:00:00,2.43,0
81,1017,8.7,2024-12-09T06:00:00,2.57,0
76,1018,8.9,2024-12-09T07:00:00,2.57,0
73,1019,8.1,2024-12-09T08:00:00,2.43,0
62,1019,10.7,2024-12-09T09:00:00,2.57,0
55,1020,10.9,2024-12-09T10:00:00,2.88,0
44,1021,12.5,2024-12-09T11:00:00,2.8,0
24,1019,15.8,2024-12-09T12:00:00,6.17,0
